id,name,belongs_to,main_category,created_at,updated_at,url,국민신문고 통합여부 1:미통합 2:통합,number_of_minwon,latest_minwon_date,조사시간,비고
39,강남구,서울특별시,기초자치단체,55:21.0,00:56.0,http://gangnam.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,7926,2020.7.1,2020-07-01 11:20:17.858830,
40,송파구,서울특별시,기초자치단체,55:21.0,00:56.0,http://songpa.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,2146,2020.4.1,2020-07-01 11:20:24.067904,
41,강동구,서울특별시,기초자치단체,55:21.0,00:56.0,http://eminwon.gangdong.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,7454,2020.6.30,2020-07-01 11:20:27.820961,
42,중구,부산광역시,기초자치단체,55:21.0,00:56.0,http://eminwon.bsjunggu.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,2804,2020.6.26,2020-07-01 11:20:32.946882,
43,서구,부산광역시,기초자치단체,55:21.0,00:56.0,http://eminwon.bsseogu.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,1914,2020.6.30,2020-07-01 11:20:37.378331,
44,동구,부산광역시,기초자치단체,55:21.0,00:56.0,http://eminwon.bsdonggu.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,5555,2020.6.29,2020-07-01 11:20:41.939296,
45,영도구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.yeongdo.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,3906,2020.7.1,2020-07-01 11:20:46.016870,
46,부산진구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.busanjin.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,9264,2020.6.30,2020-07-01 11:20:52.879330,
47,동래구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.dongnae.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,5427,2020.6.30,2020-07-01 11:20:59.094562,
48,남구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.bsnamgu.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,6136,2020.7.1,2020-07-01 11:21:04.025896,
